train_acc;train_loss;test_acc;test_loss
0.5851830218068536;0.05739124642679253;0.6077898550724637;0.05345362516632979
0.593782450674974;0.054891803104581305;0.5756987577639752;0.05478899769377017
0.5957835756317065;0.054484875884336474;0.6067546583850932;0.053065407103386475
0.5906103971962616;0.0574250670898462;0.5539596273291926;0.057039440677001854
0.5911085150571133;0.05655912984441096;0.5811335403726708;0.05742016043244065
0.5916623399100034;0.056044198781530434;0.5707815734989647;0.05703604350919309
0.5949321317311972;0.05406670008910779;0.6507505175983437;0.04995261950661307
0.5995302764797508;0.0522606219759797;0.6447981366459627;0.04998049804049989
0.6048445252105688;0.05069668322070458;0.6809006211180124;0.04709009460403003
0.6102414330218069;0.04875565152267151;0.6762422360248447;0.047843188182383346
0.6167132776361749;0.04706592934142299;0.6780538302277432;0.0457230871408314
0.6238777474904811;0.045129606781695676;0.7252846790890268;0.040544522548283356
0.6296803858135633;0.045013204936483565;0.6413043478260869;0.049313772935420275
0.636093495030411;0.041531246512362334;0.71972049689441;0.04040133449640395
0.6429365697473174;0.03985015957288421;0.7741977225672877;0.03685960282936045
0.6498146255192109;0.03836140250119836;0.7739389233954451;0.03585261313001747
0.6559655793781688;0.037295196508565144;0.7647515527950312;0.03683744698924863
0.6626067266643592;0.035530163127511186;0.7829968944099379;0.0344144736106197
0.6684036317429086;0.03551129633676829;0.78222049689441;0.03388964930090351
0.6743185358255451;0.03387879073109211;0.7849378881987578;0.03484629961135595
