train_acc;train_loss;test_acc;test_class_acc;test_loss
0.42592592592592593;0.09934769722880149;0.7777777777777777;0.5873015873015873;0.12035366535186767
0.6018518518518519;0.09609294120146304;0.4444444444444444;0.5061728395061729;0.12913440465927123
0.7685185185185186;0.08976392113432592;0.5;0.5257936507936508;0.13071617603302002
0.7407407407407407;0.08545223608308909;0.47222222222222215;0.5123456790123457;0.14247634172439574
0.7314814814814815;0.09132324736945484;0.8055555555555555;0.6058201058201058;0.11409644126892089
0.7407407407407408;0.08566084260843237;0.47222222222222215;0.4930555555555555;0.12026252508163453
0.6944444444444444;0.09033354326170318;0.5;0.5257936507936508;0.12941962003707885
0.7037037037037037;0.08618099896275268;0.5;0.5972222222222222;0.13074949264526367
0.7314814814814815;0.08604707705731295;0.75;0.544973544973545;0.1006736969947815
0.6203703703703705;0.09235860255299783;0.4166666666666667;0.44047619047619047;0.12628287553787232
